timestamps,property_id,latitude,longitude,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,pred_price,price
2025-06-05 16:27:04.163881114,306329968,41.814342,-87.63316,3.0,3.0,,0.0,3075.336,501983.06,449900.0
2025-06-05 18:24:59.687084026,54586393,33.15572,-111.55978,4.0,2.0,238.0,1909.0,5061.0,456370.35,455000.0
2025-06-05 20:22:55.210286938,50931928,47.063618,-122.88215,3.0,3.0,270.0,1850.0,5553.9,498829.19,499999.0
2025-06-05 22:20:50.733489849,2064097627,,,,,,,7187.4,88972.19,79900.0
2025-06-06 00:18:46.256692761,244070601,41.28363,-96.22902,2.0,2.0,266.0,1250.0,7840.8,336250.4,332500.0
2025-06-06 02:16:41.779895673,239675632,44.81084,-118.21736,,,,,73.54,376612.7,130000.0
2025-06-06 04:14:37.303098585,23384171,48.49639,-122.22087,3.0,3.0,259.0,2384.0,0.36,611175.94,619000.0
2025-06-06 06:12:32.826301496,20238029,34.620213,-118.20808,3.0,3.0,310.0,1756.0,8276.4,543123.03,545000.0
2025-06-06 08:10:28.349504408,2067925531,35.662743,-91.612656,,,,,,21408.48,19900.0
2025-06-06 10:08:23.872707320,5196492,41.490135,-90.528786,2.0,1.0,113.0,1144.0,5816.7,125127.0,130000.0
2025-06-06 12:06:19.395910232,24780534,37.766167,-122.2079,2.0,1.0,504.0,890.0,5227.2,457409.99,449000.0
2025-06-06 14:04:14.919113143,67648286,32.522392,-96.802086,4.0,2.0,162.0,2032.0,6621.12,326784.28,329900.0
2025-06-06 16:02:10.442316055,67023124,46.15498,-122.887344,4.0,3.0,203.0,2280.0,1.11,472909.63,465000.0
2025-06-06 18:00:05.965518967,87706822,41.82277,-87.60382,3.0,2.0,148.0,1750.0,,274729.79,259900.0
2025-06-06 19:58:01.488721879,68848157,40.759663,-111.59777,4.0,3.0,556.0,2864.0,0.49,1633188.16,1595000.0
2025-06-06 21:55:57.011924790,8420767,32.324368,-111.01867,4.0,3.0,261.0,2007.0,0.67,531088.6,525000.0
2025-06-06 23:53:52.535127702,121306153,29.785376,-90.853645,3.0,2.0,141.0,1657.0,0.297,237985.45,235000.0
2025-06-07 01:51:48.058330614,79575820,37.681038,-120.947685,4.0,3.0,209.0,3057.0,5502.0,781818.42,640000.0
2025-06-07 03:49:43.581533526,82937946,33.235615,-117.31585,2.0,2.0,287.0,1000.0,26.96,304934.0,287900.0
2025-06-07 05:47:39.104736437,4505510,41.78911,-88.14991,4.0,2.0,295.0,1100.0,6240.0,328721.42,324999.0
2025-06-07 07:45:34.627939349,15307536,37.970383,-121.348,2.0,1.0,436.0,870.0,7562.016,391011.0,380000.0
2025-06-07 09:43:30.151142261,2067106892,40.88004,-96.73158,,,,,4838.8412,135925.28,77500.0
2025-06-07 11:41:25.674345172,60170011,34.133423,-109.29738,5.0,4.0,237.0,4624.0,4.54,1074677.56,1100000.0
2025-06-07 13:39:21.197548084,2067077272,33.032948,-94.75413,,0.0,,,200.0,708976.86,859900.0
2025-06-07 15:37:16.720750996,2119660411,34.844254,-92.125786,,,,,4.73,119075.67,25000.0
2025-06-07 17:35:12.243953908,192583286,30.223051,-95.08283,3.0,2.0,267.0,1216.0,1.33,324959.07,325000.0
2025-06-07 19:33:07.767156819,2073394062,35.1079,-118.43501,,0.0,,,2.27,86866.0,64400.0
2025-06-07 21:31:03.290359731,249893668,29.730213,-95.49071,3.0,4.0,234.0,2085.0,1482.0,491239.82,489000.0
2025-06-07 23:28:58.813562643,7561080,33.46652,-111.981766,3.0,2.0,327.0,1312.0,6752.0,435050.03,429900.0
2025-06-08 01:26:54.336765555,103862956,30.418615,-91.18724,1.0,2.0,233.0,944.0,,225274.35,220000.0
2025-06-08 03:24:49.859968466,82265780,33.195515,-111.58438,4.0,3.0,217.0,2067.0,5663.0,453970.23,450000.0
2025-06-08 05:22:45.383171378,2071684756,36.58833,-93.434364,,,,,1.21,138710.0,149900.0
2025-06-08 07:20:40.906374290,250991232,29.396833,-98.71651,3.0,2.0,192.0,1721.0,5227.2,350385.4,332000.0
2025-06-08 09:18:36.429577202,2089331471,37.634857,-122.04715,,,57.0,11361.0,0.26,6026123.45,650000.0
2025-06-08 11:16:31.952780113,2064656634,32.24821,-110.82263,2.0,2.0,173.0,1009.0,1009.0,218373.0,175000.0
2025-06-08 13:14:27.475983025,2067768832,31.402903,-92.43107,,0.0,,,0.98,64418.0,44000.0
2025-06-08 15:12:22.999185937,2065504540,31.08289,-97.40087,,0.0,,,9099.684,62526.72,40000.0
2025-06-08 17:10:18.522388849,244684980,29.59752,-98.38588,4.0,3.0,159.0,2418.0,5314.32,386013.51,384900.0
2025-06-08 19:08:14.045591760,65357355,33.10134,-96.62393,3.0,2.0,243.0,1683.0,6534.0,414544.7,409900.0
2025-06-08 21:06:09.568794672,2068783606,29.79029,-95.43878,4.0,3.0,224.0,2631.0,2396.0,589163.69,589425.0
2025-06-08 23:04:05.091997584,97405443,31.94675,-110.7996,4.0,4.0,254.0,2851.0,1.0222,740250.07,725656.0
2025-06-09 01:02:00.615200496,2070865916,,,0.0,0.0,,,28.16,1059275.49,1695000.0
2025-06-09 02:59:56.138403407,20320806,34.46492,-118.66057,7.0,7.0,164.0,5166.0,5.2404,934852.5,850000.0
2025-06-09 04:57:51.661606319,17745263,33.825367,-116.53072,2.0,3.0,369.0,1839.0,3049.2,683926.99,679500.0
2025-06-09 06:55:47.184809231,115778471,48.144337,-116.18032,3.0,2.0,318.0,1254.0,7840.8,398116.87,399900.0
2025-06-09 08:53:42.708012142,54963717,33.641514,-116.24049,4.0,5.0,569.0,4168.0,0.63,2713980.0,2375000.0
2025-06-09 10:51:38.231215054,2068656868,32.7912,-96.48642,4.0,3.0,191.0,2380.0,6098.4,452321.48,455392.0
2025-06-09 12:49:33.754417966,13501940,39.640312,-106.381485,3.0,4.0,4473.0,2280.0,8712.0,7726335.12,10200000.0
2025-06-09 14:47:29.277620878,82528847,36.26467,-115.20642,5.0,3.0,202.0,2397.0,6098.0,484047.4,485000.0
2025-06-09 16:45:24.800823789,55093367,48.16314,-122.13244,5.0,3.0,266.0,3116.0,6098.4,816196.46,830000.0
2025-06-09 18:43:20.324026701,16565786,33.361614,-117.23218,3.0,2.0,377.0,1989.0,0.55,768348.99,749900.0
2025-06-09 20:41:15.847229613,56392752,40.40552,-111.929,5.0,3.0,202.0,2694.0,8276.4,551109.17,545000.0
2025-06-09 22:39:11.370432525,2069125556,30.218164,-95.64451,,0.0,,,11.2,661936.54,728000.0
2025-06-10 00:37:06.893635436,2815109,38.590694,-90.32634,2.0,1.0,189.0,1030.0,6751.8,199693.27,194900.0
2025-06-10 02:35:02.416838348,2081648622,,,,,,,0.5,116114.04,7500.0
2025-06-10 04:32:57.940041260,239565360,38.57698,-109.55361,0.0,0.0,,,6969.6,263739.95,295000.0
2025-06-10 06:30:53.463244172,53867587,45.527714,-122.39306,3.0,2.0,311.0,1636.0,7840.8,511098.52,510000.0
2025-06-10 08:28:48.986447083,163423560,32.956085,-97.25104,3.0,2.0,251.0,2011.0,1.003,500502.91,505000.0
2025-06-10 10:26:44.509649995,2066817162,47.649715,-117.45283,3.0,2.0,268.0,1408.0,6820.0,386733.33,377770.0
2025-06-10 12:24:40.032852907,28182764,29.588194,-95.1939,3.0,2.0,162.0,1473.0,7261.452,242301.87,240000.0
2025-06-10 14:22:35.556055819,2064147458,33.96489,-116.56414,3.0,2.0,219.0,1806.0,6098.4,411953.97,396500.0
2025-06-10 16:20:31.079258730,105680637,39.847416,-96.63796,2.0,2.0,104.0,572.0,9879.0,73212.99,59900.0
2025-06-10 18:18:26.602461642,68443873,41.083893,-112.01108,4.0,4.0,190.0,2502.0,7840.8,488703.92,475900.0
2025-06-10 20:16:22.125664554,26721202,32.69743,-96.80762,3.0,2.0,215.0,1138.0,7492.32,241859.49,245000.0
2025-06-10 22:14:17.648867466,305288405,29.767574,-95.86249,3.0,2.0,160.0,2480.0,9705.168,398393.62,399000.0
2025-06-11 00:12:13.172070377,2065753877,,,3.0,2.0,301.0,1336.0,5227.2,400468.01,403225.0
2025-06-11 02:10:08.695273289,2104371248,,,,,,,1.0,68983.0,31000.0
2025-06-11 04:08:04.218476201,2064183667,32.280716,-95.14845,2.0,1.0,168.0,1008.0,0.5,189215.0,169900.0
2025-06-11 06:05:59.741679113,108316719,31.590988,-111.06683,3.0,2.0,279.0,2853.0,4.3,782464.62,798000.0
2025-06-11 08:03:55.264882024,2065691763,32.81635,-109.707794,4.0,1.75,129.0,2312.0,1.11,290095.57,299900.0
2025-06-11 10:01:50.788084936,2068719137,30.128916,-97.40785,4.0,3.0,218.0,3205.0,0.275,698346.89,699900.0
2025-06-11 11:59:46.311287848,2069968661,,,4.0,2.0,175.0,1602.0,,271074.9,280990.0
2025-06-11 13:57:41.834490759,145658935,30.410858,-97.93475,3.0,3.0,379.0,1619.0,0.413,627404.9,615000.0
2025-06-11 15:55:37.357693671,2066688940,34.55135,-90.65991,,0.0,,,6098.4,69835.36,2100.0
2025-06-11 17:53:32.880896583,77360443,37.65208,-97.301865,3.0,1.0,56.0,2200.0,6534.0,151367.98,125000.0
2025-06-11 19:51:28.404099495,109796086,32.583965,-93.5351,4.0,2.0,58.0,1568.0,0.8756,103399.0,92000.0
2025-06-11 21:49:23.927302406,89049631,43.704205,-116.41648,3.0,3.0,235.0,1907.0,6098.4,451232.77,449000.0
2025-06-11 23:47:19.450505318,2065625373,33.655594,-112.48737,,,,,100.0,2373754.38,3800000.0
2025-06-12 01:45:14.973708230,225570854,30.215492,-92.36515,4.0,4.0,93.0,3831.0,10001.376,363320.8,359900.0
2025-06-12 03:43:10.496911142,2064249606,,,4.0,4.0,215.0,3495.0,1.26,738750.35,751425.0
2025-06-12 05:41:06.020114053,27769261,29.729664,-95.28472,3.0,2.0,223.0,4693.0,0.2652,994293.27,1050000.0
2025-06-12 07:39:01.543316965,2066397175,38.475002,-90.533424,,,,,0.65,47136.0,25000.0
2025-06-12 09:36:57.066519877,2067823778,,,,,,,6490.44,58132.89,47000.0
